,date,province,total,admitted,deaths
0,2020-02-27,Drenthe,0,0,0
1,2020-02-27,Flevoland,0,0,0
2,2020-02-27,Friesland,0,0,0
3,2020-02-27,Gelderland,0,0,0
4,2020-02-27,Groningen,0,0,0
5,2020-02-27,Limburg,0,0,0
6,2020-02-27,Noord-Brabant,0,1,0
7,2020-02-27,Noord-Holland,0,0,0
8,2020-02-27,Overijssel,0,0,0
9,2020-02-27,Utrecht,0,0,0
10,2020-02-27,Zeeland,0,0,0
11,2020-02-27,Zuid-Holland,0,0,0
12,2020-02-28,Drenthe,0,0,0
13,2020-02-28,Flevoland,0,0,0
14,2020-02-28,Friesland,0,0,0
15,2020-02-28,Gelderland,0,0,0
16,2020-02-28,Groningen,0,0,0
17,2020-02-28,Limburg,0,0,0
18,2020-02-28,Noord-Brabant,1,0,0
19,2020-02-28,Noord-Holland,0,0,0
20,2020-02-28,Overijssel,0,0,0
21,2020-02-28,Utrecht,0,0,0
22,2020-02-28,Zeeland,0,0,0
23,2020-02-28,Zuid-Holland,0,0,0
24,2020-02-29,Drenthe,0,0,0
25,2020-02-29,Flevoland,0,0,0
26,2020-02-29,Friesland,0,0,0
27,2020-02-29,Gelderland,0,0,0
28,2020-02-29,Groningen,0,0,0
29,2020-02-29,Limburg,0,0,0
30,2020-02-29,Noord-Brabant,0,1,0
31,2020-02-29,Noord-Holland,1,0,0
32,2020-02-29,Overijssel,0,0,0
33,2020-02-29,Utrecht,0,0,0
34,2020-02-29,Zeeland,0,0,0
35,2020-02-29,Zuid-Holland,0,0,0
36,2020-03-01,Drenthe,0,0,0
37,2020-03-01,Flevoland,0,0,0
38,2020-03-01,Friesland,0,0,0
39,2020-03-01,Gelderland,0,0,0
40,2020-03-01,Groningen,0,0,0
41,2020-03-01,Limburg,0,0,0
42,2020-03-01,Noord-Brabant,3,0,0
43,2020-03-01,Noord-Holland,0,0,0
44,2020-03-01,Overijssel,0,0,0
45,2020-03-01,Utrecht,0,0,0
46,2020-03-01,Zeeland,0,0,0
47,2020-03-01,Zuid-Holland,0,0,0
48,2020-03-02,Drenthe,0,0,0
49,2020-03-02,Flevoland,0,0,0
50,2020-03-02,Friesland,0,0,0
51,2020-03-02,Gelderland,0,0,0
52,2020-03-02,Groningen,0,0,0
53,2020-03-02,Limburg,0,0,0
54,2020-03-02,Noord-Brabant,3,0,0
55,2020-03-02,Noord-Holland,1,0,0
56,2020-03-02,Overijssel,0,0,0
57,2020-03-02,Utrecht,0,0,0
58,2020-03-02,Zeeland,0,0,0
59,2020-03-02,Zuid-Holland,1,0,0
60,2020-03-03,Drenthe,0,0,0
61,2020-03-03,Flevoland,0,0,0
62,2020-03-03,Friesland,0,0,0
63,2020-03-03,Gelderland,0,0,0
64,2020-03-03,Groningen,0,0,0
65,2020-03-03,Limburg,0,0,0
66,2020-03-03,Noord-Brabant,4,1,0
67,2020-03-03,Noord-Holland,0,0,0
68,2020-03-03,Overijssel,0,0,0
69,2020-03-03,Utrecht,0,0,0
70,2020-03-03,Zeeland,0,0,0
71,2020-03-03,Zuid-Holland,0,0,0
72,2020-03-04,Drenthe,2,0,0
73,2020-03-04,Flevoland,0,0,0
74,2020-03-04,Friesland,0,0,0
75,2020-03-04,Gelderland,0,0,0
76,2020-03-04,Groningen,0,0,0
77,2020-03-04,Limburg,0,0,0
78,2020-03-04,Noord-Brabant,2,0,0
79,2020-03-04,Noord-Holland,2,0,0
80,2020-03-04,Overijssel,0,0,0
81,2020-03-04,Utrecht,1,1,0
82,2020-03-04,Zeeland,0,0,0
83,2020-03-04,Zuid-Holland,3,0,0
